distance_0,distance_1,distance_2,Vol,Err,Coord_1,Coord_2,Coord_3
2.0365312131411213,2.1594146578878792,2.890533523969014,6.498250592892795,0.013512868362117276,"[4.100321309568204, 2.5045653357526505, 0]","[3.951391161334548, 4.658838177258138, 0]","[5.987620135168429, 4.693923048890624, 0]"
2.3838747886438147,3.0415838465033382,3.3973027846014983,3.152220592892796,0.014101486651826466,"[7.07067785403522, 7.520955448525242, 0]","[8.058948483181087, 4.6444030921656925, 0]","[5.059906318394555, 6.240464589757061, 0]"
2.3410131997320947,3.1687658187370444,3.420811980669217,3.0288205928927923,0.014121209736946761,"[2.5459154762651393, 6.960223642970628, 0]","[5.260482302053317, 4.878618119481524, 0]","[5.707285291096544, 7.176597642954685, 0]"
2.3373084256683865,2.712871740043582,2.881865022370805,4.583720592892792,0.01386261385686841,"[7.233477235001159, 2.4629564340640586, 0]","[6.156396062539904, 5.135977600290351, 0]","[4.911001764226, 2.7258601509418114, 0]"
2.573210094013891,2.63803728585409,3.573016797512316,3.4136605928927963,0.014059251346837782,"[4.765021980418519, 3.862027786420114, 0]","[6.084675418868504, 6.071083012149455, 0]","[3.742907879836284, 7.285729262994281, 0]"
2.1568514686181435,3.085765693223853,3.3847291842797,3.6957805928927954,0.014012985262783944,"[7.5688900938223345, 1.859222442003564, 0]","[4.828010974684571, 3.2768019169367633, 0]","[8.147739804996698, 3.936947464607276, 0]"
2.285055805112669,2.614939158956287,3.433863874592715,4.266820592892795,0.013917117055297048,"[5.794553627559304, 3.989904665837297, 0]","[3.3673683297195356, 3.016930701646328, 0]","[4.896978768824497, 6.091294540526499, 0]"
2.218757565724617,3.112016790160076,3.545908673407474,3.349810592892794,0.01406962277013531,"[3.256252641842696, 4.292158410699026, 0]","[6.337510242339104, 4.728621583969507, 0]","[3.8876193267623327, 2.165127323800243, 0]"
2.5088576267346,3.3772069277632575,3.5455469122548444,2.1431805928927936,0.014258828396435663,"[5.4335133300347005, 6.635177770191112, 0]","[7.939873983800745, 6.523272164979336, 0]","[6.775142796740047, 3.3532677651684595, 0]"
2.507032720962889,2.8419429058480272,3.2273310083185347,3.411090592892794,0.014059669510567805,"[3.6537583505457505, 2.080919068398894, 0]","[5.9654474129681425, 3.7340171171475487, 0]","[2.817241793954308, 4.444275392470019, 0]"
